distance_km,traffic_level,rain_mm,departure_min,vehicle_type,travel_time_min
8.12,4,0.0,161,1,34.9
7.97,2,0.0,116,1,27.8
8.16,2,0.9,59,0,25.7
8.38,2,4.5,40,0,38.2
7.94,6,0.0,99,0,41.2
7.94,2,0.0,66,0,31.5
8.39,4,0.0,153,1,34.0
8.19,7,0.0,90,0,37.9
7.88,4,0.0,168,1,33.1
8.14,7,0.0,138,0,46.6
7.88,7,0.0,108,1,39.7
7.88,4,2.5,137,1,35.1
8.06,7,1.3,93,0,39.0
7.52,7,0.0,64,0,46.6
7.57,5,0.9,177,1,37.6
7.86,3,0.0,131,0,42.2
7.75,6,0.0,32,0,39.6
8.08,9,8.6,95,1,54.7
7.77,6,0.0,68,1,34.5
7.65,3,0.0,86,1,25.8
8.37,7,0.0,45,1,39.1
7.94,5,0.0,84,0,40.1
8.02,6,3.9,146,0,47.0
7.64,7,1.9,162,1,43.7
7.86,6,0.1,101,0,47.8
8.03,8,18.3,126,0,58.6
7.71,7,0.4,41,1,37.2
8.09,6,0.8,53,0,39.8
7.85,3,0.0,130,1,29.7
7.93,8,1.2,164,0,48.9
7.85,9,0.0,53,0,49.3
8.46,3,4.6,112,1,40.1
8.0,5,0.0,178,1,37.4
7.74,4,5.3,153,0,40.8
8.21,7,2.9,75,1,40.0
7.69,7,5.8,91,0,48.7
8.05,3,8.6,175,0,38.4
7.51,8,0.0,80,0,41.6
7.67,3,0.0,115,0,21.8
8.05,8,0.0,102,0,42.2
8.18,5,0.0,122,1,35.3
8.04,4,0.0,83,1,31.9
7.97,3,0.0,144,1,29.0
7.92,3,0.0,82,1,27.5
7.63,7,1.2,136,1,45.1
7.82,6,2.6,103,1,37.1
7.88,2,0.0,85,0,26.2
8.26,2,0.0,147,0,31.3
8.09,2,0.0,177,0,31.8
7.56,7,0.0,167,0,44.1
8.08,7,0.0,52,1,40.2
7.9,2,0.0,117,1,25.6
7.83,6,0.0,147,0,43.1
8.15,2,0.0,131,1,34.9
8.26,9,0.0,151,1,50.0
8.23,9,0.0,178,0,52.5
7.79,7,4.4,100,0,46.7
7.92,9,3.7,156,0,50.5
8.08,8,0.0,54,0,48.7
8.24,8,0.0,167,1,46.5
7.88,6,0.0,157,1,37.2
7.95,4,0.0,126,0,37.0
7.72,3,0.0,162,0,33.7
7.7,4,0.0,144,1,34.0
8.2,6,0.0,130,1,43.2
8.34,3,0.0,175,0,37.2
7.98,4,2.1,62,0,34.5
8.25,5,0.0,180,1,42.1
8.09,4,0.0,67,1,36.9
7.84,6,0.0,120,1,36.0
8.09,9,0.0,82,0,51.9
8.38,7,3.2,89,1,45.8
7.99,7,0.0,140,0,42.9
8.39,6,0.0,39,1,41.0
7.35,5,0.0,174,0,35.9
8.21,3,0.0,90,1,30.4
8.02,8,0.0,89,0,42.0
